Id,Order ID,Resolution,Affiliate,Reason,Amount,Transaction Date,Media Partner,Sale Amount,Submission Date,,,,,,,,,,,,,
178367,6575400707_1,,,,,2017-11-03T18:00:00-04:00,"Cartera Commerce, Inc.",49.98,2018-01-22T18:43:11-05:00,,,,,,,,,,,,,
178368,6924101119,,,,,2017-12-07T17:00:00-05:00,"Cartera Commerce, Inc.",201.49,2018-01-22T18:43:17-05:00,,,,,,,,,,,,,
178369,6900108946,,,,,2017-12-10T17:00:00-05:00,"Cartera Commerce, Inc.",189.61,2018-01-22T18:43:23-05:00,,,,,,,,,,,,,
178370,6929708004,,,,,2017-12-08T17:00:00-05:00,"Cartera Commerce, Inc.",119.99,2018-01-22T18:43:27-05:00,,,,,,,,,,,,,
178371,6518259395,,,,,2017-12-04T17:00:00-05:00,"Cartera Commerce, Inc.",83.99,2018-01-22T18:43:33-05:00,,,,,,,,,,,,,
178373,6904179229,,,,,2017-09-24T18:00:00-04:00,"Cartera Commerce, Inc.",68.24,2018-01-22T18:43:40-05:00,,,,,,,,,,,,,
178374,6935991464,,,,,2017-11-29T17:00:00-05:00,"Cartera Commerce, Inc.",128.82,2018-01-22T18:43:48-05:00,,,,,,,,,,,,,
178375,6955381264,,,,,2017-12-05T17:00:00-05:00,"Cartera Commerce, Inc.",143.45,2018-01-22T18:43:53-05:00,,,,,,,,,,,,,
178376,6797562150,,,,,2017-12-10T17:00:00-05:00,"Cartera Commerce, Inc.",192.33,2018-01-22T18:44:01-05:00,,,,,,,,,,,,,
178378,6974586160,,,,,2017-11-19T17:00:00-05:00,"Cartera Commerce, Inc.",4.99,2018-01-22T18:44:09-05:00,,,,,,,,,,,,,
178379,CND7H8NYYT,,,,,2017-11-23T17:00:00-05:00,"Cartera Commerce, Inc.",50,2018-01-22T18:44:14-05:00,,,,,,,,,,,,,
178856,7103061686,,,,,2018-01-23T12:00:00-05:00,TopCashback (USA) INC,199.98,2018-01-25T07:49:02-05:00,,,,,,,,,,,,,
178918,6474147626,,,,,2018-01-17T17:06:00-05:00,TopCashback (USA) INC,43.74,2018-01-25T07:50:41-05:00,,,,,,,,,,,,,
179017,6914564249,,,,,2018-01-17T19:00:00-05:00,CouponCabin,55.98,2018-01-25T12:56:01-05:00,,,,,,,,,,,,,
179029,6929548198,,,,,2017-12-09T19:00:00-05:00,CouponCabin,40.76,2018-01-25T13:46:20-05:00,,,,,,,,,,,,,
179033,7022964148,,,,,2017-12-26T19:00:00-05:00,CouponCabin,94.94,2018-01-25T13:51:46-05:00,,,,,,,,,,,,,
179149,6283361328_1,,,,,2017-10-26T03:00:00-04:00,Upromise powered by Affinity Solutions,37.37,2018-01-26T13:34:27-05:00,,,,,,,,,,,,,
179530,7074316056,,,,,2018-01-10T19:00:00-05:00,CouponCabin,78,2018-01-30T11:19:22-05:00,,,,,,,,,,,,,
179548,6786229853,,,,,2018-01-24T19:00:00-05:00,CouponCabin,50.96,2018-01-30T13:49:43-05:00,,,,,,,,,,,,,
179769,7118128587,,,,,2018-01-24T19:00:00-05:00,CouponCabin,54.42,2018-01-31T12:13:06-05:00,,,,,,,,,,,,,
179961,7099582980,,,,,2018-01-19T23:36:00-05:00,TopCashback (USA) INC,34.98,2018-02-01T09:48:43-05:00,,,,,,,,,,,,,
180094,6850758049,,,,,2017-11-28T03:00:00-05:00,Upromise powered by Affinity Solutions,55.15,2018-02-01T14:11:53-05:00,,,,,,,,,,,,,
180098,6926193878,,,,,2017-12-09T03:00:00-05:00,Ebates .,623.5,2018-02-01T15:18:09-05:00,,,,,,,,,,,,,
180590,2476197QL2D9RTMMY,,,,,2018-01-03T03:00:00-05:00,Affinity Solutions.,21.84,2018-02-05T14:12:58-05:00,,,,,,,,,,,,,
